u,v,key,osmid,name,highway,oneway,reversed,length,rfid_c,rfid,avgspeed,time,EV1_ma,EV1_fr,dam_EV1_HZ_segments,dam_EV1_HZ,lanes,ref,maxspeed,junction,access
96632607,2922788758,0,10878731,7th Avenue South,residential,False,False,16.093,1303,1036,44.0,0.0,1.850000023841858,1.0,[1491.82],1491.82,nan,nan,nan,nan,nan
96632607,96699491,0,10878731,7th Avenue South,residential,False,True,46.538,"[746, 748, 2862, 1607]",686,44.0,0.001,2.0299999713897705,1.0,"[907.79, 1192.89, 754.14, 1569.59]",4424.41,nan,nan,nan,nan,nan
96632608,2922788757,0,122483554,8th Avenue South,residential,False,False,14.896,1300,1033,44.0,0.0,2.0899999141693115,1.0,[1470.79],1470.79,nan,nan,nan,nan,nan
96632608,96632610,0,10874232,3rd Street South,primary,True,False,105.162,"[1592, 455]",419,56.0,0.002,2.309999942779541,1.0,"[8327.18, 9630.75]",17957.93,2,FL A1A,35 mph,nan,nan
96632608,96755224,0,122483554,8th Avenue South,residential,False,True,63.85900000000001,"[1594, 2860, 902, 1591]",809,44.0,0.001,2.2100000381469727,1.0,"[1010.57, 835.93, 2914.43, 1541.87]",6302.8,nan,nan,nan,nan,nan
96632610,2922788756,0,122483555,9th Avenue South,residential,False,False,13.37,1297,1030,44.0,0.0,2.309999942779541,1.0,[1377.28],1377.28,nan,nan,nan,nan,nan
96632610,96632611,0,10874232,3rd Street South,primary,True,False,104.793,"[458, 1587]",422,56.0,0.002,2.309999942779541,1.0,"[9126.31, 8769.6]",17895.91,2,FL A1A,35 mph,nan,nan
96632610,96732169,0,122483555,9th Avenue South,residential,False,True,85.6,"[2858, 846, 848, 1586, 852]",775,44.0,0.002,2.3499999046325684,1.0,"[1029.47, 4723.66, 1095.3, 1105.0, 654.36]",8607.79,nan,nan,nan,nan,nan
96632611,2922788755,0,122483547,10th Avenue South,residential,False,False,13.012,1294,1027,44.0,0.0,2.2200000286102295,1.0,[1310.63],1310.63,nan,nan,nan,nan,nan
96632611,96632614,0,10874232,3rd Street South,primary,True,False,104.148,"[1571, 461, 1582]",425,56.0,0.002,2.359999895095825,1.0,"[8003.16, 7415.57, 2613.96]",18032.69,2,FL A1A,35 mph,nan,nan
96632611,96687747,0,122483547,10th Avenue South,residential,False,True,101.79299999999999,"[1568, 2856, 1577, 1581, 1589, 694]",633,44.0,0.002,2.4100000858306885,1.0,"[1838.27, 742.15, 1788.09, 1532.81, 814.65, 3938.39]",10654.36,nan,nan,nan,nan,nan
96632614,2922788754,0,10880199,11th Avenue South,residential,False,False,15.316,1291,1024,44.0,0.0,2.359999895095825,1.0,[1613.92],1613.92,nan,nan,nan,nan,nan
96632614,96721666,0,10880199,11th Avenue South,residential,False,True,107.61699999999999,"[1570, 1573, 2854, 1575, 1579, 823, 1561, 1566]",751,44.0,0.002,2.4200000762939453,1.0,"[3721.18, 648.6, 790.26, 1317.08, 1400.02, 1872.46, 332.56, 987.71]",11069.87,nan,nan,nan,nan,nan
96632615,2922788752,0,83591029,13th Avenue South,tertiary,False,True,16.831,1286,1018,50.0,0.0,2.4600000381469727,1.0,[2098.62],2098.62,2,nan,nan,nan,nan
96632615,96755038,0,83591029,13th Avenue South,tertiary,False,False,108.095,"[2849, 1538, 1540, 1551, 1556, 1534, 895]",802,50.0,0.002,2.6700000762939453,1.0,"[873.34, 1887.02, 2608.17, 1561.3, 1889.89, 2141.13, 2625.4]",13586.25,2,nan,nan,nan,nan
96632616,2922788750,0,10887552,15th Avenue South,residential,False,False,14.552,1279,1012,44.0,0.0,2.359999895095825,1.0,[1525.78],1525.78,nan,nan,nan,nan,nan
96632616,96632618,0,10874232,3rd Street South,primary,True,False,102.85199999999999,"[2838, 470, 1471]",434,56.0,0.002,2.619999885559082,1.0,"[1855.23, 9242.44, 7414.49]",18512.16,2,FL A1A,35 mph,nan,nan
96632616,96755244,0,10887552,15th Avenue South,residential,False,True,106.874,"[1473, 1477, 915, 1464, 2842, 1468]",816,44.0,0.002,2.6600000858306885,1.0,"[1142.08, 3940.99, 3440.38, 301.76, 659.02, 2024.67]",11508.9,nan,nan,nan,nan,nan
96632618,2922788749,0,83591065,16th Avenue South,tertiary,False,False,13.585,1276,1009,50.0,0.0,2.619999885559082,1.0,[1731.92],1731.92,2,nan,nan,nan,nan
96632618,96650996,0,83591065,16th Avenue South,tertiary,False,True,213.94899999999998,"[545, 1451, 1453, 1455, 2840, 1470]",501,50.0,0.004,2.619999885559082,1.0,"[5291.42, 9393.1, 4281.49, 3712.67, 1084.8, 3048.1]",26811.58,2,nan,nan,nan,nan
96634585,96634587,0,10874354,1st Avenue North,residential,False,True,106.804,"[1374, 1181, 1177, 1179, 477, 2526]",440,44.0,0.002,1.8600000143051147,1.0,"[1069.75, 2614.93, 1105.47, 2665.62, 591.71, 1381.08]",9428.56,nan,nan,nan,nan,nan
96634587,3574801804,0,683228866,2nd Street North,residential,False,True,189.57299999999998,"[928, 2146, 2148, 1349, 2154, 1204, 2135, 1175, 2137, 2139, 1207, 2143]",1071,40.0,0.005,2.140000104904175,1.0,"[2369.04, 1733.67, 334.9, 1690.01, 2169.78, 825.03, 2011.81, 456.36, 2243.71, 1759.21, 1057.78, 805.06]",17456.36,nan,nan,25 mph,nan,nan
96634592,96634594,0,10874354,1st Avenue North,residential,False,True,106.185,485,447,44.0,0.002,1.4900000095367432,1.0,[8183.25],8183.25,nan,nan,nan,nan,nan
96634592,96669949,0,351669862,North 5th Street,residential,False,False,104.207,"[683, 2116]",623,44.0,0.002,1.7799999713897705,1.0,"[5054.19, 3817.88]",8872.07,nan,nan,nan,nan,nan
96634594,96669951,0,10883745,North 6th Street,residential,False,False,105.254,685,624,44.0,0.002,1.4900000095367432,1.0,[8203.5],8203.5,nan,nan,nan,nan,nan
96634594,96634596,0,10874354,1st Avenue North,residential,False,True,105.914,"[489, 2107]",452,44.0,0.002,1.4500000476837158,1.0,"[3348.84, 4923.39]",8272.23,nan,nan,nan,nan,nan
96634596,96634597,0,10874354,1st Avenue North,residential,False,True,106.45499999999998,"[2651, 493]",456,44.0,0.002,1.399999976158142,1.0,"[6037.42, 1200.62]",7238.04,nan,nan,nan,nan,nan
96634599,96634605,0,10874354,1st Avenue North,residential,False,True,101.66600000000001,"[2081, 2695, 2697, 2703, 501, 503]",465,44.0,0.002,0.6499999761581421,1.0,"[672.36, 287.2, 760.15, 1465.55, 199.11, 331.07]",3715.44,nan,nan,nan,nan,nan
96634605,4377126987,0,10874354,1st Avenue North,residential,False,True,247.683,"[2025, 2027, 2033, 2036, 2037, 2039]",1084,44.0,0.006,0.8399999737739563,1.0,"[668.47, 1497.55, 3998.14, 3076.63, 876.11, 776.52]",10893.42,nan,nan,nan,nan,nan
96635103,4419335612,0,444454367,1st Street South,tertiary,False,False,103.831,"[1772, 1774, 1778, 2163, 1782, 1784]",1097,50.0,0.002,2.0299999713897705,1.0,"[6146.58, 456.41, 1017.85, 900.1, 1475.59, 1636.16]",11632.69,2,nan,nan,nan,nan
96635105,2124932338,0,10882817,South 4th Street,residential,False,False,145.595,"[2787, 1923, 1836, 1840, 916, 1241]",980,44.0,0.003,2.200000047683716,1.0,"[2447.87, 1026.82, 107.33, 4309.64, 4742.27, 1175.15]",13809.08,nan,nan,nan,nan,nan
96635105,96635107,0,288720070,1st Avenue South,residential,False,True,105.05,"[1928, 516, 2679]",477,44.0,0.002,2.049999952316284,1.0,"[5303.23, 1405.52, 2363.09]",9071.84,nan,nan,nan,nan,nan
96635107,96635109,0,288720070,1st Avenue South,residential,False,True,107.517,520,479,44.0,0.002,1.3700000047683716,1.0,[7374.59],7374.59,nan,nan,nan,nan,nan
96635107,96665463,0,10876469,South 5th Street,residential,False,False,103.417,"[1925, 1854, 671]",610,44.0,0.002,1.5499999523162842,1.0,"[1997.16, 4747.31, 1653.08]",8397.55,nan,nan,nan,nan,nan
96635109,96716412,0,10879843,South 6th Street,residential,False,False,103.953,"[1864, 1868, 807]",734,44.0,0.002,1.190000057220459,1.0,"[2897.45, 434.17, 3500.61]",6832.23,nan,nan,nan,nan,nan
