osmid,name,highway,maxspeed,oneway,reversed,length,rfid_c,geometry,rfid,avgspeed,time,bridge,access,lanes,service,alt_dist,alt_nodes,diff_dist,detour
7476047,Nieuwe Molstraat,residential,30,True,False,161.0,"[145, 586, 155]","LINESTRING (4.3142292 52.074994, 4.3136885 52.0746659, 4.3133333 52.0744504, 4.3125511 52.0739793)",96,30.0,19.0,nan,nan,nan,nan,316.0,"[45128012, 1947942327, 45130354, 45135604, 45132248]",155.0,1
7476169,Bierkade,residential,30,True,False,77.0,"[485, 134, 615]","LINESTRING (4.3177401 52.0743176, 4.3169463 52.0739558, 4.3169229 52.0739436, 4.3168481 52.0739045)",82,30.0,9.0,nan,nan,nan,nan,403.0,"[45129228, 45133920, 45130249, 1401604253]",326.0,1
7476169,Bierkade,residential,30,True,False,63.0,147,"LINESTRING (4.3177401 52.0743176, 4.3184921 52.0746479)",89,30.0,8.0,nan,nan,nan,nan,344.0,"[45129228, 45133920, 2203725847, 45135189, 45132825, 45130358]",281.0,1
7476065,Kranestraat,residential,50,True,False,137.0,"[168, 616, 460, 209, 603, 604]","LINESTRING (4.3165674 52.0753092, 4.3166188 52.0752665, 4.316932 52.0750037, 4.3172313 52.074754, 4.3173823 52.0746188, 4.317404 52.0746005, 4.3177401 52.0743176)",107,50.0,10.0,nan,nan,nan,nan,270.0,"[45129228, 1401604253, 45130249, 45133920]",133.0,1
7476074,Wagenstraat,residential,50,False,False,7.0,149,"LINESTRING (4.3151432 52.0745512, 4.3150668 52.0745861)",91,50.0,0.0,nan,nan,nan,nan,53.0,"[45130249, 568103757, 45130708]",46.0,1
7476526,Amsterdamse Veerkade,residential,50,True,False,129.0,"[550, 140, 275, 475, 477]","LINESTRING (4.3151432 52.0745512, 4.3153335 52.0746555, 4.3157499 52.0748827, 4.3161397 52.0750852, 4.3164683 52.0752559, 4.3165674 52.0753092)",84,50.0,9.0,nan,nan,2,nan,145.0,"[45130249, 1401604253, 45129228, 45133920]",16.0,1
126443284,Wagenstraat,residential,30,False,True,137.0,"[547, 549, 272, 274, 211, 278]","LINESTRING (4.3168481 52.0739045, 4.3162957 52.0740946, 4.3161307 52.0741557, 4.3158235 52.0742783, 4.3155901 52.0743714, 4.3151932 52.0745297, 4.3151432 52.0745512)",151,30.0,16.0,nan,nan,nan,nan,343.0,"[45130249, 45133920, 45129228, 1401604253]",206.0,1
44805874,Stille Veerkade,residential,50,True,False,27.0,"[473, 237]","LINESTRING (4.3148331 52.0743996, 4.315028 52.0744954, 4.3151432 52.0745512)",134,50.0,2.0,nan,nan,nan,nan,33.0,"[45130249, 45130708, 568103757]",6.0,1
7477701,Paviljoensgracht,residential,30,False,False,6.0,357,"LINESTRING (4.3107083 52.0745801, 4.310794 52.0745681)",163,30.0,1.0,nan,nan,nan,nan,625.0,"[45130354, 45135604, 45132248, 45128012, 1947942327]",619.0,1
7477739,Lutherse Burgwal,residential,30,False,True,65.0,"[361, 363, 365, 246, 153]","LINESTRING (4.3099655 52.074926, 4.3100763 52.0748416, 4.3101589 52.0747882, 4.3104543 52.0746498, 4.3106069 52.0745992, 4.3107083 52.0745801)",95,30.0,8.0,nan,nan,nan,nan,,nan,,0
"[7477361, 887935843, 887935844]",Gedempte Burgwal,residential,30,True,False,196.0,"[163, 618, 619, 144, 150]","LINESTRING (4.3107083 52.0745801, 4.3108804 52.0746763, 4.3111657 52.0748358, 4.3111829 52.0748454, 4.3119259 52.0752542, 4.312826 52.0757603)",88,30.0,23.0,nan,nan,nan,nan,435.0,"[45130354, 1947942327, 45128012, 45132248, 45135604]",239.0,1
